frame,position,pot,age,diversity,genotype,old_genotype,location,depth_seed,depth_roots,layer_width,biomass,sieve_location,sieved_by,notes
2,14,1,ancestral,poly,NA,NA,NA,NA,0,5,3.235,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,5,5,1.2005,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,10,5,0.9449,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,15,5,0.6002,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,20,5,0.2254,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,25,5,0.155,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,30,5,0.1451,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,35,5,0.0799,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,40,5,0.055,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,45,5,0.0527,nd,MLV,
2,14,1,ancestral,poly,NA,NA,NA,NA,50,5,0.0303,nd,MLV,
1,16,2,ancestral,poly,NA,NA,NA,NA,0,5,1.8893,nd,BB,
1,16,2,ancestral,poly,NA,NA,NA,NA,5,5,1.0285,nd,CP,
1,16,2,ancestral,poly,NA,NA,NA,NA,10,5,0.8994,nd,BB,
1,16,2,ancestral,poly,NA,NA,NA,NA,15,5,0.4127,nd,CP,
1,16,2,ancestral,poly,NA,NA,NA,NA,20,5,0.1572,nd,CP,
1,16,2,ancestral,poly,NA,NA,NA,NA,25,5,0.1496,nd,CP,
1,16,2,ancestral,poly,NA,NA,NA,NA,30,5,0.1764,nd,BB,
1,16,2,ancestral,poly,NA,NA,NA,NA,35,5,0.0811,nd,BB,
1,16,2,ancestral,poly,NA,NA,NA,NA,40,5,0.0471,nd,BB,
1,16,2,ancestral,poly,NA,NA,NA,NA,45,5,0.0285,nd,CP,
1,8,3,ancestral,poly,NA,NA,NA,NA,0,5,3.1129,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,5,5,2.0413,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,10,5,1.1487,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,15,5,0.3522,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,20,5,0.171,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,25,5,0.2401,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,30,5,0.1565,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,35,5,0.0827,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,40,5,0.072,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,45,5,0.0588,nd,MLV,
1,8,3,ancestral,poly,NA,NA,NA,NA,50,7.5,0.0839,nd,MLV,
2,3,4,ancestral,poly,NA,NA,NA,NA,0,5,2.6519,nd,EA,
2,3,4,ancestral,poly,NA,NA,NA,NA,5,5,1.7432,nd,MLV,
2,3,4,ancestral,poly,NA,NA,NA,NA,10,5,1.0235,nd,MLV,
2,3,4,ancestral,poly,NA,NA,NA,NA,15,5,0.6414,nd,MLV,
2,3,4,ancestral,poly,NA,NA,NA,NA,20,5,0.2024,nd,MLV,
2,3,4,ancestral,poly,NA,NA,NA,NA,25,5,0.1711,,,
2,3,4,ancestral,poly,NA,NA,NA,NA,30,5,0.0795,,,
2,3,4,ancestral,poly,NA,NA,NA,NA,35,5,0.0705,nd,MLV,
2,3,4,ancestral,poly,NA,NA,NA,NA,40,5,0.0506,,,
2,3,4,ancestral,poly,NA,NA,NA,NA,45,5,0.0227,,,
2,3,4,ancestral,poly,NA,NA,NA,NA,50,7.5,0.0402,nd,MLV,
3,23,5,ancestral,poly,NA,NA,NA,NA,0,5,2.9129,nd,MLV,
3,23,5,ancestral,poly,NA,NA,NA,NA,5,5,1.4692,nd,MLV,
3,23,5,ancestral,poly,NA,NA,NA,NA,10,5,0.7838,nd,EA,
3,23,5,ancestral,poly,NA,NA,NA,NA,15,5,0.425,nd,MLV,
3,23,5,ancestral,poly,NA,NA,NA,NA,20,5,0.1628,nd,EA,
3,23,5,ancestral,poly,NA,NA,NA,NA,25,5,0.1187,nd,LO,
3,23,5,ancestral,poly,NA,NA,NA,NA,30,5,0.0865,nd,EA,
3,23,5,ancestral,poly,NA,NA,NA,NA,35,5,0.073,nd,LO,
3,23,5,ancestral,poly,NA,NA,NA,NA,40,5,0.0512,nd,EA,
3,23,5,ancestral,poly,NA,NA,NA,NA,45,5,0.0249,nd,LO,
3,23,5,ancestral,poly,NA,NA,NA,NA,50,6.5,0.0268,nd,LO,
3,8,6,ancestral,poly,NA,NA,NA,NA,0,5,2.8874,,,
3,8,6,ancestral,poly,NA,NA,NA,NA,5,5,1.8885,,,
3,8,6,ancestral,poly,NA,NA,NA,NA,10,5,1.5498,,,
3,8,6,ancestral,poly,NA,NA,NA,NA,15,5,0.4059,nd,MLV,
3,8,6,ancestral,poly,NA,NA,NA,NA,20,5,0.2343,nd,MLV,
3,8,6,ancestral,poly,NA,NA,NA,NA,25,5,0.1587,nd,MLV,
3,8,6,ancestral,poly,NA,NA,NA,NA,30,5,0.123,nd,MLV,
3,8,6,ancestral,poly,NA,NA,NA,NA,35,5,0.0852,nd,MLV,
3,8,6,ancestral,poly,NA,NA,NA,NA,40,5,0.0715,nd,MLV,
3,8,6,ancestral,poly,NA,NA,NA,NA,45,5,0.0575,,,
3,8,6,ancestral,poly,NA,NA,NA,NA,50,8,0.0798,,,
4,14,7,ancestral,poly,NA,NA,NA,NA,0,5,3.7098,nd,LO,
4,14,7,ancestral,poly,NA,NA,NA,NA,5,5,2.2619,nd,LO,
4,14,7,ancestral,poly,NA,NA,NA,NA,10,5,0.8722,nd,MLV,
4,14,7,ancestral,poly,NA,NA,NA,NA,15,5,0.4543,nd,MLV,
4,14,7,ancestral,poly,NA,NA,NA,NA,20,5,0.2376,nd,MLV,
4,14,7,ancestral,poly,NA,NA,NA,NA,25,5,0.1929,nd,MLV,
4,14,7,ancestral,poly,NA,NA,NA,NA,30,5,0.1357,nd,MLV,
4,14,7,ancestral,poly,NA,NA,NA,NA,35,5,0.1048,nd,MLV,
4,14,7,ancestral,poly,NA,NA,NA,NA,40,5,0.0625,nd,MLV,
4,14,7,ancestral,poly,NA,NA,NA,NA,45,5,0.0382,nd,LO,
4,14,7,ancestral,poly,NA,NA,NA,NA,50,8,0.049,nd,LO,
2,12,8,ancestral,poly,NA,NA,NA,NA,0,5,1.9763,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,5,5,1.4094,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,10,5,1.1774,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,15,5,0.5189,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,20,5,0.1764,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,25,5,0.1044,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,30,5,0.0822,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,35,5,0.0766,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,40,5,0.0271,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,45,5,0.0372,nd,MLV,
2,12,8,ancestral,poly,NA,NA,NA,NA,50,7,0.0464,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,0,5,1.5336,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,5,5,1.2753,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,10,5,0.5061,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,15,5,0.2723,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,20,5,0.1575,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,25,5,0.1075,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,30,5,0.0827,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,35,5,0.0647,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,40,5,0.0477,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,45,5,0.0335,nd,MLV,
1,6,10,ancestral,poly,NA,NA,NA,NA,50,7,0.0118,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,0,5,2.5299,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,5,5,2.0873,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,10,5,0.7443,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,15,5,0.4952,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,20,5,0.2243,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,25,5,0.1539,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,30,5,0.1165,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,35,5,0.0867,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,40,5,0.0525,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,45,5,0.0385,nd,MLV,
2,23,11,ancestral,poly,NA,NA,NA,NA,50,4,0.044,nd,MLV,
4,6,12,ancestral,poly,NA,NA,NA,NA,0,5,2.2404,nd,MLV,
4,6,12,ancestral,poly,NA,NA,NA,NA,5,5,1.8635,nd,MLV,
4,6,12,ancestral,poly,NA,NA,NA,NA,10,5,0.6945,nd,LO,
4,6,12,ancestral,poly,NA,NA,NA,NA,15,5,0.3999,nd,MLV,
4,6,12,ancestral,poly,NA,NA,NA,NA,20,5,0.1944,nd,MLV,
4,6,12,ancestral,poly,NA,NA,NA,NA,25,5,0.1876,nd,MLV,
4,6,12,ancestral,poly,NA,NA,NA,NA,30,5,0.0967,nd,MLV,
4,6,12,ancestral,poly,NA,NA,NA,NA,35,5,0.0452,nd,LO,
4,6,12,ancestral,poly,NA,NA,NA,NA,40,5,0.0314,nd,LO,
4,6,12,ancestral,poly,NA,NA,NA,NA,45,5,0.0454,nd,LO,
4,6,12,ancestral,poly,NA,NA,NA,NA,50,7,0.0435,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,0,5,2.4048,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,5,5,1.7587,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,10,5,0.5944,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,15,5,0.3244,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,20,5,0.1717,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,25,5,0.1171,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,30,5,0.1061,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,35,5,0.0686,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,40,5,0.0525,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,45,5,0.0311,nd,MLV,
4,9,13,ancestral,poly,NA,NA,NA,NA,50,7,0.0349,nd,MLV,
4,24,14,ancestral,poly,NA,NA,NA,NA,0,5,3.9212,nd,MLV,
4,24,14,ancestral,poly,NA,NA,NA,NA,5,5,1.8481,nd,MLV,
4,24,14,ancestral,poly,NA,NA,NA,NA,10,5,0.7905,nd,MLV,
4,24,14,ancestral,poly,NA,NA,NA,NA,15,5,0.3258,nd,LO,
4,24,14,ancestral,poly,NA,NA,NA,NA,20,5,0.234,nd,MLV,
4,24,14,ancestral,poly,NA,NA,NA,NA,25,5,0.0893,nd,LO,
4,24,14,ancestral,poly,NA,NA,NA,NA,30,5,0.0893,nd,LO,
4,24,14,ancestral,poly,NA,NA,NA,NA,35,5,0.0639,nd,LO,
4,24,14,ancestral,poly,NA,NA,NA,NA,40,5,0.0327,nd,LO,
4,24,14,ancestral,poly,NA,NA,NA,NA,45,5,0.0263,nd,MLV,
4,24,14,ancestral,poly,NA,NA,NA,NA,50,6,0.0394,nd,MLV,
2,16,15,ancestral,poly,NA,NA,NA,NA,0,5,2.5924,nd,LO,
2,16,15,ancestral,poly,NA,NA,NA,NA,5,5,1.7231,nd,MLV,
2,16,15,ancestral,poly,NA,NA,NA,NA,10,5,1.0209,nd,LO,
2,16,15,ancestral,poly,NA,NA,NA,NA,15,5,0.3861,nd,MLV,
2,16,15,ancestral,poly,NA,NA,NA,NA,20,5,0.2168,nd,MLV,
2,16,15,ancestral,poly,NA,NA,NA,NA,25,5,0.1477,nd,LO,
2,16,15,ancestral,poly,NA,NA,NA,NA,30,5,0.1533,nd,MLV,
2,16,15,ancestral,poly,NA,NA,NA,NA,35,5,0.0837,nd,MLV,
2,16,15,ancestral,poly,NA,NA,NA,NA,40,5,0.0576,nd,LO,
2,16,15,ancestral,poly,NA,NA,NA,NA,45,5,0.0537,nd,LO,
2,16,15,ancestral,poly,NA,NA,NA,NA,50,6.5,0.0585,nd,MLV,
1,23,16,ancestral,poly,NA,NA,NA,NA,0,5,4.4388,nd,BB,
1,23,16,ancestral,poly,NA,NA,NA,NA,5,5,1.0996,nd,not_recorded,
1,23,16,ancestral,poly,NA,NA,NA,NA,10,5,0.7445,nd,AA,
1,23,16,ancestral,poly,NA,NA,NA,NA,15,5,0.4197,nd,LO,
1,23,16,ancestral,poly,NA,NA,NA,NA,20,5,0.1655,nd,LO,
1,23,16,ancestral,poly,NA,NA,NA,NA,25,5,0.1085,nd,LO,
1,23,16,ancestral,poly,NA,NA,NA,NA,30,5,0.0991,nd,LO,
1,23,16,ancestral,poly,NA,NA,NA,NA,35,5,0.0604,nd,AA,
1,23,16,ancestral,poly,NA,NA,NA,NA,40,5,0.0592,nd,LO,
1,23,16,ancestral,poly,NA,NA,NA,NA,45,5,0.0255,nd,LO,
1,23,16,ancestral,poly,NA,NA,NA,NA,50,,0.0345,nd,LO,missing core length
4,12,17,ancestral,poly,NA,NA,NA,NA,0,5,3.0997,nd,BB,
4,12,17,ancestral,poly,NA,NA,NA,NA,5,5,1.8189,nd,AA,
4,12,17,ancestral,poly,NA,NA,NA,NA,10,5,0.6358,nd,BB,
4,12,17,ancestral,poly,NA,NA,NA,NA,15,5,0.2365,nd,AA,
4,12,17,ancestral,poly,NA,NA,NA,NA,20,5,0.1666,nd,AA,
4,12,17,ancestral,poly,NA,NA,NA,NA,25,5,0.0817,nd,LO,
4,12,17,ancestral,poly,NA,NA,NA,NA,30,5,0.0832,nd,AA,
4,12,17,ancestral,poly,NA,NA,NA,NA,35,5,0.0562,nd,AA,
4,12,17,ancestral,poly,NA,NA,NA,NA,40,5,0.0476,nd,AA,
4,12,17,ancestral,poly,NA,NA,NA,NA,45,5,0.0225,nd,LO,
4,12,17,ancestral,poly,NA,NA,NA,NA,50,7,0.0212,nd,AA,
4,16,18,ancestral,poly,NA,NA,NA,NA,0,5,2.1436,nd,MLV,
4,16,18,ancestral,poly,NA,NA,NA,NA,5,5,2.1788,nd,LO,
4,16,18,ancestral,poly,NA,NA,NA,NA,10,5,0.9133,nd,MLV,
4,16,18,ancestral,poly,NA,NA,NA,NA,15,5,0.6514,nd,EA,
4,16,18,ancestral,poly,NA,NA,NA,NA,20,5,0.2274,nd,EA,
4,16,18,ancestral,poly,NA,NA,NA,NA,25,5,0.1788,nd,EA,
4,16,18,ancestral,poly,NA,NA,NA,NA,30,5,0.1107,nd,EA,
4,16,18,ancestral,poly,NA,NA,NA,NA,35,5,0.0634,nd,LO,
4,16,18,ancestral,poly,NA,NA,NA,NA,40,5,0.0501,nd,LO,
4,16,18,ancestral,poly,NA,NA,NA,NA,45,5,0.054,nd,LO,
4,16,18,ancestral,poly,NA,NA,NA,NA,50,6.5,0.0681,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,0,5,2.0486,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,5,5,1.4662,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,10,5,0.7399,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,15,5,0.3677,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,20,5,0.1967,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,25,5,0.1267,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,30,5,0.0955,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,35,5,0.0662,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,40,5,0.0545,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,45,5,0.0457,nd,MLV,
3,9,19,modern,poly,NA,NA,NA,NA,50,6,0.0244,nd,MLV,
4,2,20,modern,poly,NA,NA,NA,NA,0,5,2.7433,nd,BB,stem pieces recovered after sieving
4,2,20,modern,poly,NA,NA,NA,NA,5,5,2.0694,nd,MLV,left in fridge
4,2,20,modern,poly,NA,NA,NA,NA,10,5,0.8015,nd,MLV,
4,2,20,modern,poly,NA,NA,NA,NA,15,5,0.3539,nd,MLV,left in fridge
4,2,20,modern,poly,NA,NA,NA,NA,20,5,0.1349,nd,,
4,2,20,modern,poly,NA,NA,NA,NA,25,5,0.1075,nd,MLV,left in fridge
4,2,20,modern,poly,NA,NA,NA,NA,30,5,0.0872,nd,LO,
4,2,20,modern,poly,NA,NA,NA,NA,35,5,0.0763,nd,LO,
4,2,20,modern,poly,NA,NA,NA,NA,40,5,0.0599,nd,MLV,
4,2,20,modern,poly,NA,NA,NA,NA,45,5,0.0379,nd,MLV,
4,2,20,modern,poly,NA,NA,NA,NA,50,9,0.0755,nd,,
3,12,21,modern,poly,NA,NA,NA,NA,0,5,2.5152,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,5,5,0.8218,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,10,5,0.3302,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,15,5,0.1771,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,20,5,0.1105,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,25,5,0.0945,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,30,5,0.0541,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,35,5,0.0346,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,40,5,0.0266,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,45,5,0.0173,nd,MLV,
3,12,21,modern,poly,NA,NA,NA,NA,50,6.5,0.0095,nd,MLV,
4,5,22,modern,poly,NA,NA,NA,NA,0,5,2.7626,nd,AA,
4,5,22,modern,poly,NA,NA,NA,NA,5,5,1.4104,nd,AA,
4,5,22,modern,poly,NA,NA,NA,NA,10,5,0.5648,nd,AA,
4,5,22,modern,poly,NA,NA,NA,NA,15,5,0.1964,nd,AA,
4,5,22,modern,poly,NA,NA,NA,NA,20,5,0.1267,nd,AA,
4,5,22,modern,poly,NA,NA,NA,NA,25,5,0.1192,nd,BB,
4,5,22,modern,poly,NA,NA,NA,NA,30,5,0.0995,nd,BB,
4,5,22,modern,poly,NA,NA,NA,NA,35,5,0.0763,nd,not_recorded,
4,5,22,modern,poly,NA,NA,NA,NA,40,5,0.0257,nd,not_recorded,
4,5,22,modern,poly,NA,NA,NA,NA,45,5,0.0213,nd,MLV,
4,5,22,modern,poly,NA,NA,NA,NA,50,5,0.0456,nd,not_recorded,
1,13,23,modern,poly,NA,NA,NA,NA,0,5,2.7719,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,5,5,1.033,nd,EA,
1,13,23,modern,poly,NA,NA,NA,NA,10,5,0.5197,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,15,5,0.3465,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,20,5,0.1499,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,25,5,0.1477,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,30,5,0.0763,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,35,5,0.0368,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,40,5,0.0447,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,45,5,0.0284,nd,MLV,
1,13,23,modern,poly,NA,NA,NA,NA,50,8.5,0.0159,nd,MLV,
1,11,24,modern,poly,NA,NA,NA,NA,0,5,1.4536,serc,MLV,
1,11,24,modern,poly,NA,NA,NA,NA,5,5,0.9276,serc,MLV,
1,11,24,modern,poly,NA,NA,NA,NA,10,5,0.4062,serc,MLV,
1,11,24,modern,poly,NA,NA,NA,NA,15,5,0.2611,serc,JLS,
1,11,24,modern,poly,NA,NA,NA,NA,20,5,0.1489,serc,JLS,
1,11,24,modern,poly,NA,NA,NA,NA,25,5,0.0468,serc,MLV,
1,11,24,modern,poly,NA,NA,NA,NA,30,5,0.052,serc,MLV,
1,11,24,modern,poly,NA,NA,NA,NA,35,5,0.0328,serc,JLS,
1,11,24,modern,poly,NA,NA,NA,NA,40,5,0.0273,serc,MLV,
1,11,24,modern,poly,NA,NA,NA,NA,45,5,0.019,serc,JLS,
1,11,24,modern,poly,NA,NA,NA,NA,50,,0.0135,serc,JLS,missing core length
2,9,25,modern,poly,NA,NA,NA,NA,0,5,2.4007,nd,LO,
2,9,25,modern,poly,NA,NA,NA,NA,5,5,1.2741,nd,MLV,
2,9,25,modern,poly,NA,NA,NA,NA,10,5,0.7877,nd,LO,
2,9,25,modern,poly,NA,NA,NA,NA,15,5,0.4223,nd,AA,
2,9,25,modern,poly,NA,NA,NA,NA,20,5,0.1466,nd,AA,
2,9,25,modern,poly,NA,NA,NA,NA,25,5,0.1246,nd,AA,
2,9,25,modern,poly,NA,NA,NA,NA,30,5,0.0722,nd,AA,
2,9,25,modern,poly,NA,NA,NA,NA,35,5,0.0439,nd,MLV,
2,9,25,modern,poly,NA,NA,NA,NA,40,5,0.0495,nd,AA,
2,9,25,modern,poly,NA,NA,NA,NA,45,5,0.0208,nd,MLV,
2,9,25,modern,poly,NA,NA,NA,NA,50,6.5,0.0121,nd,LO,
4,21,26,modern,poly,NA,NA,NA,NA,0,5,3.8567,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,5,5,2.9868,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,10,5,1.0851,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,15,5,0.5873,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,20,5,0.3182,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,25,5,0.2643,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,30,5,0.1719,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,35,5,0.1215,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,40,5,0.0728,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,45,5,0.0621,nd,MLV,
4,21,26,modern,poly,NA,NA,NA,NA,50,7.5,0.0783,nd,MLV,
2,2,27,modern,poly,NA,NA,NA,NA,0,5,3.954,nd,MLV,
