pot,depth_roots,biomass_type,biomass,notes
1,5,stems,0.2566,JJ
1,0,stems,1.3156,JJ
2,0,stems,0.4624,JJ
2,5,stems,0.2172,JJ
3,0,stems,1.3337,BB
3,5,stems,0.3033,JJ
4,5,stems,0.2732,BB
4,0,stems,1.1291,BB
5,0,stems,1.0093,JJ
5,5,stems,0.1275,JJ
6,0,stems,1.1504,JJ
6,5,stems,0.3439,JJ
7,0,stems,1.3126,HK
7,5,stems,0.3079,JJ
8,5,stems,0.2677,BB
8,0,stems,0.7763,BB
9,5,stems,0.129,BB
9,0,stems,1.3311,JJ
10,0,stems,0.7722,JJ
10,5,stems,0.1971,JJ
11,0,stems,1.1775,JJ
11,5,stems,0.2859,JJ
12,0,stems,0.9784,BB
12,5,stems,0.2271,BB
13,5,stems,0.1089,BB
13,0,stems,0.727,BB
14,0,stems,1.149,BB
14,5,stems,0.1257,BB
15,0,stems,1.0861,JJ
15,5,stems,0.274,JJ
16,0,stems,1.1108,JJ
16,5,stems,0.0073,JJ
17,5,stems,0.1028,BB
17,0,stems,0.6661,JJ
18,5,stems,0.2839,JJ
18,0,stems,1.0665,JJ
19,5,stems,0.1395,BB
19,0,stems,0.9139,BB
20,5,stems,0.3376,JJ
20,0,stems,1.2587,AW
21,0,stems,0.7685,BB
21,5,stems,0.0229,BB
22,0,stems,1.1421,BB
22,5,stems,0.1745,JJ
23,5,stems,0.0441,BB
23,0,stems,1.0286,JJ
24,5,stems,0.0653,BB
24,0,stems,0.545,JJ
25,0,stems,0.7222,BB
25,5,stems,0.2483,JJ
26,5,stems,0.3224,JJ
26,0,stems,1.6349,JJ
27,5,stems,0.2278,JJ
27,0,stems,1.6015,JJ
28,0,stems,1.258,BB
28,5,stems,0.111,JJ
29,0,stems,0.8219,BB
29,5,stems,0.0833,BB
30,0,stems,1.0449,JJ
30,5,stems,0.3049,JJ
31,5,stems,0.0642,JJ
31,0,stems,1.0025,JJ
32,5,stems,0,JJ
32,0,stems,0.577,BB
33,0,stems,1.327,JJ
33,5,stems,0.3529,JJ
34,0,stems,0.7823,BB
34,5,stems,0.0914,JJ
35,5,stems,0.0869,BB
35,0,stems,1.0669,BB
36,0,stems,0.7982,BB
36,5,stems,0.1064,BB
37,5,stems,0.1627,JJ
37,0,stems,1.0282,BB
38,0,stems,1.0088,BB
38,5,stems,0.167,BB
39,0-15,stems,0.9707,BB
39,0,stems,0.5448,BB
40,0,stems,0.7277,JJ
40,5,stems,0.2091,AW
41,0,stems,0.7613,BB
41,5,stems,0.0739,JJ
42,0,stems,1.0707,BB
42,5,stems,0.3274,AW
43,0,stems,0.7883,JJ
43,5,stems,0.1117,JJ
44,0,stems,1.5994,JJ
44,5,stems,0.0324,JJ
45,5,stems,0.0626,BB
45,0,stems,1.209,JJ
46,0,stems,0.819,BB
46,5,stems,0.078,JJ
47,5,stems,0.2746,JJ
47,0,stems,0.9481,AW
48,0,stems,1.1028,JJ
48,5,stems,0.1967,JJ
49,0,stems,1.3427,BB
49,5,stems,0,BB
50,0,stems,1.1562,BB
50,5,stems,0.0659,BB
51,0,stems,1.363,BB
51,5,stems,0.0821,JJ
52,5,stems,0.1898,JJ
52,0,stems,0.9512,JJ
53,5,stems,0.3901,BB
53,0,stems,0.7661,JJ
54,0,stems,1.0365,BB
54,5,stems,0.2098,AW
55,0,stems,1.3197,JJ
55,5,stems,0.1629,JJ
56,5,stems,0.5175,JJ
56,0,stems,0.0181,JJ
57,5,stems,0.0389,BB
57,0,stems,0.8803,BB
58,5,stems,0.0589,BB
58,0,stems,0.6621,BB
59,5,stems,0.1191,JJ
59,0,stems,0.2658,JJ
60,0,stems,0.8066,JJ
60,5,stems,0.2923,JJ
61,5,stems,0.1711,BB
61,0,stems,0.617,AW
62,0,stems,0.686,BB
62,5,stems,0.1112,BB
63,5,stems,0.6567,BB
63,0,stems,1.0927,JJ
64,5,stems,0.026,BB
64,0,stems,0.8863,AW
65,0,stems,0.8868,BB
65,5,stems,0.0207,BB
66,0,stems,0.9061,JJ
66,5,stems,0.1924,JJ
67,0,stems,1.1495,BB
67,5,stems,0.1076,BB
68,5,stems,0.1583,BB
68,0,stems,1.5323,BB
69,5,stems,0.175,JJ
69,0,stems,1.9481,JJ
70,5,stems,0.0434,BB
70,0,stems,0.7223,BB
71,0,stems,0.426,BB
71,5,stems,0.1293,JJ
72,0,stems,0.5051,BB
72,5,stems,0.1049,JJ
73,0,stems,1.3061,BB
73,5,stems,0.3761,JJ
74,0,stems,0.8293,BB
74,5,stems,0.0414,BB
75,5,stems,0.4112,JJ
75,0,stems,1.3114,AW
76,0,stems,0.879,BB
76,5,stems,0.144,BB
77,0,stems,1.0943,JJ
77,5,stems,0,check
78,5,stems,0.2879,BB
78,0,stems,0.435,JJ
79,5,stems,0.2555,JJ
79,0,stems,0.7797,JJ
80,0,stems,1.0623,JJ
80,5,stems,0.1926,JJ
81,5,stems,0.1986,BB
81,0,stems,0.8714,BB
82,0,stems,1.4212,JJ
82,5,stems,0.2237,JJ
83,0,stems,1.2419,BB
83,5,stems,0.3097,BB
84,5,stems,0.2949,JJ
84,0,stems,1.2771,JJ
85,0,stems,1.161,JJ
85,5,stems,0.107,JJ
86,5,stems,0.1391,JJ
86,0,stems,1.4493,JJ
87,5,stems,0.0217,BB
87,0,stems,1.4084,BB
88,0,stems,0.9289,JJ
88,5,stems,0.1618,JJ
89,0,stems,0.872,BB
89,5,stems,0.1108,JJ
90,5,stems,0.1477,JJ
90,0,stems,1.4061,JJ
91,5,stems,0.1311,BB
91,0,stems,0.5472,JJ
92,0,stems,0.9832,JJ
92,5,stems,0,check
93,0,stems,1.2613,BB
93,5,stems,0.1016,BB
94,0,stems,0.5255,JJ
94,5,stems,0.1645,JJ
95,0,stems,0.4814,BB
95,5,stems,0.2467,BB
96,5,stems,0.2525,JJ
96,0,stems,1.5371,JJ