ID,Site,Depth,Cohort,Expt
Blum-3182,Corn,16.75,ancestral,0
Blum-3186,Corn,0,descendant,0
Blum-3187,Corn,0,descendant,0
Blum-3188,Corn,18.5,ancestral,0
Blum-3189,Corn,18.5,ancestral,0
Blum-3190,Corn,0,descendant,0
Blum-3193,Corn,0,descendant,0
Blum-3195,Corn,0,descendant,0
Blum-3197,Corn ,0,descendant,0
Blum-3198,Corn,0,descendant,0
Blum-3200,Corn,0,descendant,0
Blum-3201,Corn,0,descendant,0
Blum-3203,Corn,0,descendant,0
Blum-3205,Corn,0,descendant,0
Blum-3206,Corn,0,descendant,0
Blum-3211,Corn,0,descendant,0
Blum-3212,Corn,18.75,ancestral,0
Blum-3214,Corn,20.75,ancestral,0
Blum-3215,Corn,20.75,ancestral,0
Blum-3216,Corn,20.75,ancestral,0
Blum-3217,Corn,20.75,ancestral,0
Blum-3218,Corn,20.75,ancestral,0
Blum-3219,Corn,20.75,ancestral,0
Blum-3221,Corn,20.75,ancestral,0
Blum-3222,Corn,20.75,ancestral,0
Blum-3224,Corn,20.75,ancestral,0
Blum-3225,Corn,20.75,ancestral,0
Blum-3228,Corn,18.75,ancestral,0
Blum-3229,Corn,18.75,ancestral,0
Blum-3230,Corn,18.75,ancestral,0
Blum-3231,Corn,18.75,ancestral,0
Blum-3232,Corn,18.75,ancestral,0
Blum-3233,Corn,18.75,ancestral,0
Blum-3234,Corn,18.75,ancestral,0
Blum-3235,Corn,18.75,ancestral,0
Blum-3238,Corn,18.75,ancestral,0
Blum-3239,Corn,18.75,ancestral,0
Blum-3244,Corn,16.75,ancestral,0
Blum-3249,Corn,0,descendant,0
Blum-3259,Sellman,0,descendant,0
Blum-3261,Sellman,0,descendant,0
Blum-3262,Sellman,0,descendant,0
Blum-3265,Sellman,14,ancestral,0
Blum-3287,Sellman,2,descendant,0
Blum-3288,Sellman,2,descendant,0
Blum-3289,Sellman,2,descendant,0
Blum-3291,Sellman,2,descendant,0
Blum-3292,Sellman,2,descendant,0
Blum-3293,Sellman,2,descendant,0
Blum-3297,Sellman,14,ancestral,0
Blum-3298,Sellman,10,ancestral,0
Blum-3299-newP2P1,Sellman,10,ancestral,0
Blum-3301,Sellman,0,descendant,0
Blum-3438-newP2P1,Corn,18.5,ancestral,0
Blum-3442-newP2P1,Sellman,0,descendant,0
Blum-3445-newP2P1,Corn,0,descendant,0
Blum-3478-newP2P1,Sellman,13.75,ancestral,0
Blum-3480,Corn,0,descendant,0
Blum-3481,Corn,0,descendant,1
Blum-3482,Sellman,13,ancestral,1
Blum-3483,Corn,0,descendant,1
Blum-3484,Corn,9,ancestral,1
Blum-3485,Sellman,0,descendant,1
Blum-3486,Corn,5.25,descendant,1
Blum-3487,Sellman,15.25,ancestral,1
Blum-3488-newP2P1,Corn,15,ancestral,1
Blum-3489,Corn,14.25,ancestral,1
Blum-3490,Sellman,15.25,ancestral,1
Blum-3491,Kirkpatrick,0,descendant,1
Blum-3492,Corn,16.75,ancestral,1
Blum-3493,Corn,10.25,ancestral,1
Blum-3495,Corn,0,descendant,1
Blum-3496,Hog,0,descendant,1
Blum-3512,Kirkpatrick,0,extant,0
Blum-3527,Corn,0,extant,0
Blum-3528,Corn,0,extant,0
Blum-3529,Corn,0,extant,0
Blum-3530,Corn,0,extant,0
Blum-3531,Corn,0,extant,0
Blum-3532,Corn,0,extant,0
Blum-3533,Corn,0,extant,0
Blum-3534,Corn,0,extant,0
Blum-3536,Corn,0,extant,0
Blum-3537,Corn,0,extant,0
Blum-3538,Corn,0,extant,0
Blum-3539,Corn,0,extant,0
Blum-3540,Corn,0,extant,0
Blum-3541,Corn,0,extant,0
Blum-3544,Hog,0,extant,0
Blum-3567,Sellman,0,extant,0
Blum-3568,Sellman,0,extant,0
Blum-3569,Sellman,0,extant,0
Blum-A5,Kirkpatrick,14,ancestral,0
Blum-E5,Kirkpatrick,14,ancestral,0